CATNAME,双流园区,龙泉园区,新兴产业园
CAT,PSL,PLQ,PXX
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
MONTH,0.083,0.083,0.083
WEEK,0.142,0.142,0.142
WEEK,0.146,0.146,0.146
WEEK,0.148,0.148,0.148
WEEK,0.147,0.147,0.147
WEEK,0.146,0.146,0.146
WEEK,0.142,0.142,0.142
WEEK,0.129,0.129,0.129
HOUR,0.041,0.041,0.041
HOUR,0.049,0.049,0.049
HOUR,0.05,0.05,0.05
HOUR,0.05,0.05,0.05
HOUR,0.042,0.042,0.042
HOUR,0.043,0.043,0.043
HOUR,0.048,0.048,0.048
HOUR,0.048,0.048,0.048
HOUR,0.047,0.047,0.047
HOUR,0.046,0.046,0.046
HOUR,0.041,0.041,0.041
HOUR,0.039,0.039,0.039
HOUR,0.038,0.038,0.038
HOUR,0.037,0.037,0.037
HOUR,0.037,0.037,0.037
HOUR,0.039,0.039,0.039
HOUR,0.04,0.04,0.04
HOUR,0.038,0.038,0.038
HOUR,0.039,0.039,0.039
HOUR,0.039,0.039,0.039
HOUR,0.038,0.038,0.038
HOUR,0.038,0.038,0.038
HOUR,0.037,0.037,0.037
HOUR,0.036,0.036,0.036
VERT,1,1,1
VERT,0,0,0
VERT,0,0,0
VERT,0,0,0
